decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,occid,recordID
-149.0738174,63.38417877,ALA,UAMb:Herb:37593,NAD83,30,1241,1835517,urn:uuid:7b950aee-40fa-47d9-93d7-e81b4cdcad7f
-149.0431048,63.3875887,ALA,UAMb:Herb:37645,NAD83,30,1101,1836705,urn:uuid:b394cb5b-3865-4527-b53c-3d5cef9fe7cb
-149.052997,63.38787143,ALA,UAMb:Herb:37703,NAD83,30,1099,1835577,urn:uuid:4fbf1930-1232-458a-ac8b-29ab933c9726
8.9499,63.3909,TRH,13106/1,WGS84,24,,3836243,urn:uuid:a0f47a92-292e-498a-98ec-38edb4771f2e
-149.0323415,63.39167259,ALA,UAMb:Herb:37952,NAD83,30,1215,1836003,urn:uuid:d35c1806-7023-4e94-ab4e-5ee274b728d6
-149.464351,63.39200785,ALA,UAMb:Herb:38098,NAD83,30,997,1835545,urn:uuid:7e639618-d1e1-45c8-9515-226b1a670d91
-149.4744857,63.39231192,ALA,UAMb:Herb:38100,NAD83,30,1096,1836887,urn:uuid:3a680092-b7d4-4e9d-a8d2-090701828705
9.0662,63.3965,TRH,28559/1,WGS84,10,,3827264,urn:uuid:638839d6-2308-4090-8be1-8cf926e39d5a
-123.233333,63.4,ALA,UAMb:Herb:2418,unknown,,1341,1453558,urn:uuid:4d7def3f-0acd-4bef-9229-b24cc8c55d69
10.913,63.4017,TRH,17925/1,WGS84,100,187,3840555,urn:uuid:db8e72cd-dbab-43a6-9f7e-f04a42e04fdc
10.913,63.4017,TRH,17929/1,WGS84,100,187,3838921,urn:uuid:b88e7203-634e-4fc4-81ba-44061cee293d
10.3513,63.4041,TRH,47231/1,ED50,707,190,3809969,urn:uuid:b232416f-78af-4730-bb48-ee43f71d7d6e
10.35582,63.40577,LD,1078129,unknown,,,3938294,urn:uuid:a03cc008-2953-4fb5-8c10-2ce11e26692a
-19.056,63.412,DUKE,342985,unknown,,200,2933167,urn:uuid:cc02f921-be81-4cdf-92da-c5910ac5775d
-150.2650304,63.41425725,ALA,UAMb:Herb:49390,NAD83,30,1401,2216650,urn:uuid:afdf4293-a553-49e6-bd90-e9f204efa0e4
-150.4458687,63.4143009,ALA,UAMb:Herb:38222,NAD83,30,921,1836063,urn:uuid:6130f001-0143-4327-a396-f21e27db0f70
